C00012880|01192017|250|4|1000
C00035691|01132017|208|7|1679
C00035691|01292017|155|16|2613
C00051979|01122017|788|1|788
C00051979|01312017|326|30|9636
C00095109|01312017|310|4|1260
C00104083|01042017|220|2|440
C00104083|01182017|190|1|190
C00113019|01262017|5000|6|25000
C00119776|01312017|349|1|349
C00131607|01022017|250|4|1000
C00131607|01032017|500|4|2250
C00131607|01062017|500|2|1000
C00131607|01312017|1000|1|1000
C00139659|01042017|250|11|4350
C00139659|01102017|250|18|9250
C00139659|01162017|250|3|1000
C00139659|01232017|250|10|4550
C00139659|01252017|250|5|1250
C00153031|01062017|210|1|210
C00153031|01272017|250|1|250
C00153031|01302017|1000|2|2000
C00153031|01312017|2000|1|2000
C00161414|01132017|208|7|1939
C00161414|01312017|216|8|2319
C00177436|01042017|5000|1|5000
C00177436|01312017|384|18|5720
C00200139|01202017|192|2|384
C00242271|01312017|382|6|2092
C00250753|01302017|365|3|1595
C00264689|01182017|250|1|250
C00264689|01252017|250|1|250
C00275529|01052017|575|1|575
C00275529|01162017|536|1|536
C00275529|01312017|345|4|2191
C00280222|01042017|800|1|800
C00280222|01122017|500|1|500
C00311308|01312017|406|2|811
C00364778|01112017|20|2|40
C00364778|01132017|209|2|418
C00364778|01312017|167|4|653
C00369090|01022017|1650|2|3300
C00369090|01112017|2000|1|2000
C00369090|01142017|800|1|800
C00369090|01192017|1000|1|1000
C00369090|01202017|384|5|1920
C00371948|01312017|250|3|1082
C00377051|01262017|1000|1|1000
C00384818|01122017|250|40|12174
C00384818|01272017|0|1|0
C00387753|01312017|392|4|1544
C00397455|01202017|115|4|537
C00399063|01312017|307|2|614
C00409565|01032017|5000|1|5000
C00409565|01182017|4000|2|8000
C00409565|01302017|5000|1|5000
C00412098|01042017|650|6|9050
C00412098|01052017|950|2|1900
C00412098|01062017|550|2|1100
C00412098|01192017|900|1|900
C00412098|01222017|500|1|500
C00412098|01312017|1050|2|2100
C00415026|01132017|217|2|433
C00415026|01312017|354|2|708
C00416693|01052017|500|2|1000
C00416693|01302017|5000|1|5000
C00428110|01122017|250|4|1166
C00455733|01132017|624|1|624
C00455733|01202017|234|2|468
C00455733|01272017|234|2|468
C00455733|01302017|234|10|3116
C00473249|01202017|500|8|4175
C00478099|01312017|250|22|6620
C00482372|01202017|200|1|200
C00482372|01272017|200|1|200
C00484592|01182017|200|9|3150
C00484592|01232017|450|2|900
C00528455|01192017|15000|1|15000
C00572198|01172017|2750|2|5500
C00574954|12302016|750|1|750
C00579102|01252017|-2700|1|-2700
C00586859|01242017|1000|1|1000
C00586982|01032017|1100|1|1100
C00588871|01242017|-500|1|-500
C00592030|01252017|5000|1|5000
C00603126|01052017|1532|1|1532
C00611251|01092017|400|1|400
C00619262|01042017|90869|1|90869
C00619577|12022016|100|1|100
C00619577|12132016|1000|1|1000
